time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.244559796068,-0.152642838854,11.7345689045,6.24959441876,0.105760282944,0.0,-0.647180015811,-0.321416559494,2.79452282696,-0.0271316209013,0.139960306972,0.0,454.3617150669883,454.2073677350682,454.99319060262553,454.15611775781895
1.3800000000000008,-0.286290491095,-0.17283991245,11.9114345671,6.2483074787,0.114441594708,0.0,-0.744892413498,-0.351978951353,3.10004614242,-0.0119942228964,0.152767905484,0.0,505.8931622605498,506.83115575099794,506.4048245068039,507.4925334085798
1.4400000000000008,-0.332885163303,-0.194529129085,12.0960118204,6.24814106746,0.123380171674,0.0,-0.809008226633,-0.371029161476,3.05253792535,0.0111894874758,0.140057178937,0.0,399.1806174127414,398.0425114537512,398.6767023088493,400.7895101319706
1.5000000000000009,-0.383415240298,-0.217344534047,12.277277216,6.24907664162,0.13153239323,0.0,-0.875999636249,-0.389425128444,2.98969573371,0.0231976918923,0.125817667656,0.0,394.37663305676114,393.0786770712618,393.13569586600636,394.2467614027125
1.560000000000001,-0.439110428348,-0.241504546328,12.4623629257,6.25055569612,0.138855684122,0.0,-0.981300315781,-0.41572293619,3.1791514743,0.0274091922628,0.113213661748,0.0,476.8387750127328,475.88725431449984,474.19281490810823,474.5162753187956
1.620000000000001,-0.500722603873,-0.267075811076,12.6547453455,6.2521811262,0.145509734314,0.0,-1.07306421967,-0.436490499955,3.23330515992,0.0264454764725,0.105824617459,0.0,435.9933955087952,435.38672736219473,434.0879332002665,434.00724211460835
1.680000000000001,-0.568236054346,-0.293917074768,12.8521525636,6.25382732625,0.152372581521,0.0,-1.1780329751,-0.458038361297,3.3464465834,0.0293485284897,0.127547516317,0.0,453.63785009261085,455.3899702205995,453.8251248695781,454.0582549296937
1.740000000000001,-0.642011788491,-0.321980438355,13.0551035514,6.25551796578,0.161058962472,0.0,-1.28194238604,-0.477229689131,3.41817879291,0.0257259427585,0.166530130184,0.0,441.61311768199636,444.8356285710524,441.42733692068236,441.12850201004056
1.8000000000000012,-0.722559723068,-0.351221498321,13.2644843072,6.25678991164,0.170467265386,0.0,-1.40399168459,-0.497301696773,3.56047405522,0.0101156295461,0.116723980045,0.0,466.8391389626659,462.95669021762876,466.0820382397887,464.86033916847316
1.8600000000000012,-0.810590377317,-0.381636581899,13.4821507804,6.25749567439,0.177809350671,0.0,-1.5310651304,-0.516449523028,3.69441211008,0.0148685959604,0.131761889998,0.0,463.6742486337504,464.8669089260514,463.6542115320241,464.02736692716707
1.9200000000000013,-0.906320950723,-0.413171097592,13.7073151834,6.25828613677,0.186070459925,0.0,-1.66073540753,-0.53459946566,3.8104159179,0.00955030226568,0.147464993813,0.0,460.77267885504324,462.0291207669315,458.71855555650666,458.29588693948074
1.9800000000000013,-1.00992033376,-0.44576651021,13.938907062,6.25881186063,0.195026252893,0.0,-1.79342348902,-0.55184555214,3.90867506858,0.00713702834341,0.152632845835,0.0,454.94563977631765,455.379590653932,456.6318073327272,456.4391163759939
